State,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Alabama,8276,79153531,10.5,10.2,10.7,0.1
Alaska,1642,11619054,14.1,13.4,14.8,0.3
Arizona,16000,102260320,15.6,15.4,15.9,0.1
Arkansas,5030,48127139,10.5,10.2,10.7,0.1
California,65653,618482047,10.6,10.5,10.7,0
Colorado,11361,81979602,13.9,13.6,14.1,0.1
Connecticut,7420,59851848,12.4,12.1,12.7,0.1
Delaware,2011,14690493,13.7,13.1,14.3,0.3
Florida,43246,307658206,14.1,13.9,14.2,0.1
Georgia,15286,156794347,9.7,9.6,9.9,0.1
Hawaii,2256,22391828,10.1,9.7,10.5,0.2
Idaho,2550,25125742,10.1,9.8,10.5,0.2
Illinois,22020,215629487,10.2,10.1,10.3,0.1
Indiana,13091,108039336,12.1,11.9,12.3,0.1
Iowa,3245,51106028,6.3,6.1,6.6,0.1
Kansas,4413,47492505,9.3,9,9.6,0.1
Kentucky,12925,72069687,17.9,17.6,18.2,0.2
Louisiana,10778,76816288,14,13.8,14.3,0.1
Maine,2634,22346589,11.8,11.3,12.2,0.2
Maryland,13702,96095812,14.3,14,14.5,0.1
Massachusetts,16000,110561604,14.5,14.2,14.7,0.1
Michigan,25034,169247101,14.8,14.6,15,0.1
Minnesota,6650,88349625,7.5,7.3,7.7,0.1
Mississippi,4765,49696268,9.6,9.3,9.9,0.1
Missouri,12585,99548925,12.6,12.4,12.9,0.1
Montana,1992,16350314,12.2,11.6,12.7,0.3
Nebraska,1841,30449575,6,5.8,6.3,0.1
Nevada,8036,42397289,19,18.5,19.4,0.2
New Hampshire,2924,22040058,13.3,12.8,13.7,0.2
New Jersey,16012,147786615,10.8,10.7,11,0.1
New Mexico,7182,33510363,21.4,20.9,21.9,0.3
New York,29537,327923109,9,8.9,9.1,0.1
North Carolina,17850,153789162,11.6,11.4,11.8,0.1
North Dakota,477,11394034,4.2,3.8,4.6,0.2
Ohio,27885,195264288,14.3,14.1,14.4,0.1
Oklahoma,9691,62035326,15.6,15.3,15.9,0.2
Oregon,8600,63028957,13.6,13.4,13.9,0.1
Pennsylvania,32203,213336433,15.1,14.9,15.3,0.1
Rhode Island,2869,17971898,16,15.4,16.5,0.3
South Carolina,8699,75243461,11.6,11.3,11.8,0.1
South Dakota,754,13541850,5.6,5.2,6,0.2
Tennessee,15942,104293627,15.3,15,15.5,0.1
Texas,37235,405679137,9.2,9.1,9.3,0
Utah,7715,44050407,17.5,17.1,17.9,0.2
Vermont,1175,10552926,11.1,10.5,11.8,0.3
Virginia,11572,131420921,8.8,8.6,9,0.1
Washington,15403,110031695,14,13.8,14.2,0.1
West Virginia,6685,31138841,21.5,21,22,0.3
Wisconsin,9900,94983188,10.4,10.2,10.6,0.1
Wyoming,1109,9131503,12.1,11.4,12.9,0.4
